t E e M
s erg erg g
0.0 4.0262907075592606e+50 4.966089475407593e+44 1.990944563175739e+33
39.6769262485079 4.263739686575515e+50 3.974026795597804e+49 1.9909394921574104e+33
57.9545171460924 4.517270525247032e+50 5.38809009690969e+49 1.9909374515262602e+33
75.3867137121421 4.646531976998561e+50 6.125876101762926e+49 1.990935867323801e+33
88.7031807471435 4.749399335135698e+50 7.037601954781155e+49 1.9909343856447652e+33
95.3280720719951 4.806703989602186e+50 7.50688451898588e+49 1.9909329589435126e+33
99.649967600023 4.847344147578243e+50 7.828606178888173e+49 1.9909318414033004e+33
102.846763459376 4.877370029952169e+50 8.080959735477933e+49 1.9909309229884564e+33
105.480030589623 4.900686804389258e+50 8.284985339566605e+49 1.9909301146564508e+33
107.967011255765 4.9209880519308855e+50 8.473576436019059e+49 1.9909293155799212e+33
110.452666336088 4.941654985009214e+50 8.65852453983446e+49 1.9909284919415914e+33
112.94796928032 4.962601830315547e+50 8.842235898869452e+49 1.9909276358839006e+33
115.45536153306 4.984885292292056e+50 9.024365451405514e+49 1.9909267849045956e+33
117.983880773241 5.007499291247785e+50 9.206678111754432e+49 1.9909259185049447e+33
120.54093700479 5.0312406869685416e+50 9.391784131470178e+49 1.9909250148134306e+33
123.118791151519 5.055411277717354e+50 9.574564463943356e+49 1.990924065434903e+33
125.709003503156 5.080049456698262e+50 9.76159423086022e+49 1.9909230619200713e+33
128.298429870241 5.104499181157488e+50 9.946493619227137e+49 1.9909219611391944e+33
130.890138782948 5.128662451402893e+50 1.0134134983140427e+50 1.990920781734327e+33
133.491308510021 5.151878240353378e+50 1.032385986822291e+50 1.990919554226361e+33
136.110457535168 5.175116515837104e+50 1.0512701536761167e+50 1.990918333901473e+33
138.751740235702 5.1988029028285055e+50 1.0704093769656456e+50 1.9909172274657325e+33
141.407996903826 5.222191532116012e+50 1.0896007408941938e+50 1.990916285645607e+33
144.074972504962 5.245409735753483e+50 1.1086809792781402e+50 1.9909154049014986e+33
146.748260886308 5.268437255324363e+50 1.1275840398005045e+50 1.9909145314673228e+33
149.43133187843 5.290489631791274e+50 1.14644067443426e+50 1.9909131688085232e+33
152.121787179926 5.313066216304504e+50 1.1651705675014199e+50 1.990911361493868e+33
154.820010184406 5.33597783573606e+50 1.183655501083762e+50 1.9909090845386662e+33
157.533755586813 5.359396498126836e+50 1.2019326760231315e+50 1.9909062915931397e+33
160.256545663769 5.38316692868772e+50 1.2200426477715687e+50 1.9909032461665912e+33
162.993737951974 5.407176952375758e+50 1.2381516395243081e+50 1.990900458703245e+33
165.754984203266 5.431440744767047e+50 1.2565202493885765e+50 1.9908980477952843e+33
168.544202283208 5.455256898900803e+50 1.2751037878416037e+50 1.990895908502941e+33
171.359459218632 5.479369780140988e+50 1.2936944023956177e+50 1.9908939712503303e+33
